epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,42.396,1.47827,0.51254,0.96963,1.29484,0.0670367,0.000332962,0.000332962
2,80.6527,1.27235,0.56938,0.97882,1.16543,0.0340236,0.000653103,0.000653103
3,117.094,1.20282,0.58136,0.98175,1.12206,0.000997163,0.000960044,0.000960044
4,153.667,1.17332,0.60365,0.98607,1.04525,0.0009406,0.0009406,0.0009406
5,189.699,1.14073,0.6049,0.98509,1.03734,0.0009208,0.0009208,0.0009208
6,226.014,1.11387,0.61619,0.98495,1.05146,0.000901,0.000901,0.000901
7,262.356,1.10203,0.61438,0.9876,1.00919,0.0008812,0.0008812,0.0008812
8,298.754,1.08674,0.62859,0.98635,0.98957,0.0008614,0.0008614,0.0008614
9,334.863,1.07052,0.62636,0.99039,0.98177,0.0008416,0.0008416,0.0008416
10,371.331,1.05748,0.63096,0.98844,0.98599,0.0008218,0.0008218,0.0008218
11,407.508,1.05614,0.63555,0.98816,0.97857,0.000802,0.000802,0.000802
12,443.819,1.03819,0.63597,0.98997,0.97017,0.0007822,0.0007822,0.0007822
13,480.355,1.0273,0.64558,0.99081,0.94382,0.0007624,0.0007624,0.0007624
14,516.588,1.02378,0.64809,0.98983,0.93699,0.0007426,0.0007426,0.0007426
15,553.21,1.00958,0.65687,0.98941,0.93279,0.0007228,0.0007228,0.0007228
16,589.485,1.00178,0.65283,0.99108,0.93327,0.000703,0.000703,0.000703
17,625.882,0.99537,0.65812,0.99067,0.91759,0.0006832,0.0006832,0.0006832
18,662.834,0.99286,0.6591,0.99053,0.91598,0.0006634,0.0006634,0.0006634
19,699.162,0.98539,0.66578,0.99025,0.9037,0.0006436,0.0006436,0.0006436
20,735.776,0.97179,0.66537,0.99206,0.90405,0.0006238,0.0006238,0.0006238
21,772.419,0.96444,0.6676,0.99276,0.90253,0.000604,0.000604,0.000604
22,808.904,0.96236,0.66718,0.9922,0.90206,0.0005842,0.0005842,0.0005842
23,845.952,0.95176,0.66801,0.9915,0.8868,0.0005644,0.0005644,0.0005644
24,882.99,0.93965,0.674,0.9915,0.87772,0.0005446,0.0005446,0.0005446
25,919.954,0.93616,0.67735,0.99164,0.88425,0.0005248,0.0005248,0.0005248
26,956.925,0.92232,0.68362,0.99122,0.8762,0.000505,0.000505,0.000505
27,993.864,0.91473,0.68153,0.99164,0.87063,0.0004852,0.0004852,0.0004852
28,1030.83,0.91232,0.68139,0.9922,0.87212,0.0004654,0.0004654,0.0004654
29,1067.76,0.90297,0.67902,0.99094,0.87577,0.0004456,0.0004456,0.0004456
30,1104.79,0.89049,0.68027,0.99094,0.87576,0.0004258,0.0004258,0.0004258
31,1141.94,0.88888,0.68125,0.9915,0.87389,0.000406,0.000406,0.000406
32,1179.27,0.87093,0.68417,0.99136,0.8747,0.0003862,0.0003862,0.0003862
33,1215.98,0.86782,0.6839,0.99192,0.86739,0.0003664,0.0003664,0.0003664
34,1252.83,0.86556,0.68459,0.9922,0.86805,0.0003466,0.0003466,0.0003466
35,1289.78,0.85161,0.68459,0.9922,0.87017,0.0003268,0.0003268,0.0003268
36,1326.16,0.83219,0.68571,0.99276,0.86487,0.000307,0.000307,0.000307
37,1363.24,0.82917,0.68626,0.99289,0.86323,0.0002872,0.0002872,0.0002872
38,1400.65,0.81933,0.68696,0.99303,0.8646,0.0002674,0.0002674,0.0002674
39,1437.79,0.80893,0.68849,0.99289,0.86357,0.0002476,0.0002476,0.0002476
40,1475.27,0.80052,0.68863,0.99262,0.86139,0.0002278,0.0002278,0.0002278
41,1513.26,0.7839,0.68835,0.99289,0.86109,0.000208,0.000208,0.000208
42,1550.31,0.77457,0.69044,0.99262,0.86109,0.0001882,0.0001882,0.0001882
43,1587.25,0.76251,0.69016,0.99276,0.86282,0.0001684,0.0001684,0.0001684
44,1623.64,0.75007,0.69044,0.99248,0.85953,0.0001486,0.0001486,0.0001486
45,1660.42,0.74047,0.69072,0.99262,0.86384,0.0001288,0.0001288,0.0001288
46,1697.06,0.73132,0.69044,0.99276,0.85671,0.000109,0.000109,0.000109
47,1733.64,0.71648,0.69072,0.99303,0.85902,8.92e-05,8.92e-05,8.92e-05
48,1770.92,0.7048,0.69142,0.99331,0.86207,6.94e-05,6.94e-05,6.94e-05
49,1807.62,0.69514,0.69198,0.99303,0.86535,4.96e-05,4.96e-05,4.96e-05
50,1844.69,0.68677,0.69142,0.99289,0.86009,2.98e-05,2.98e-05,2.98e-05
